id,name,address,手動高圧スプレーガン,門型自動洗車機,ノンブラシ洗車機,掃除機,24時間営業,水道シンク設備(状況),水道シンク設備(料金),水道シンク設備(詳細),洗車用品自動販売機,スタッフ常駐,純水対応
0a019f4d-2a82-43b8-8019-25a73404396e,"洗車のジャバ 西成岸里店","大阪府大阪市西成区岸里2-6",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
0de49d26-f929-4c3c-95f3-7b4276f48df5,"洗車のジャバ 堺鳳店","大阪府堺市西区上593-1",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
0f294bb2-8f1a-4b0d-8a2f-2c88d9cbdcae,"洗車のジャバ 吹田インター中環青葉丘店","大阪府茨木市下穂積2-10-6",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
0ffd0d01-de56-48cf-94f5-338044c0e22f,"カーピカランド中町","大阪府泉佐野市中町4-2-6665-1",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
11840af0-5f9c-4a20-8f39-c6fd670cb1c0,"洗車のジャバ 東大阪店","大阪府東大阪市鷹殿町21-36",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
138b7de1-cb95-4698-9785-e5232383ebcd,"ウオッシュザウルス豊里","大阪府大阪市東淀川区大道南1-5",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
155f0e83-4f4f-432e-a57f-c6500304aa6b,"洗車のジャバ ブルーランド店","大阪府羽曳野市西浦1268",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
1b62f11c-b972-4a5d-9c2b-3d283a4f362d,"コイン洗車場 (山田南)","大阪府吹田市山田南38",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
2b35f4b2-c2ae-43ce-9022-1462e8ae12e0,"カーピカランド木川","大阪府大阪市淀川区木川西4-2-8",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
2c1c3139-4371-43a2-a610-a44af3fafdab,"洗車のジャバ 住之江店","大阪府大阪市住之江区平林南2-4-31",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
2e5f8c3b-5416-4f99-b126-6e34ef778e38,"洗車のジャバ 東大阪南店","大阪府東大阪市南上小阪10-60",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
2e661ede-ef64-4907-932c-14b909c8bb09,"カーピカランド南の丘","大阪府貝塚市三ツ松1592",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
3aceb1fa-69b5-4470-8291-fc9279e30312,"カーピカランド綾園","大阪府高石市綾園7-2",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
3db720e3-ee5a-4a22-b995-e8807ff5ffde,"ウオッシュザウルス新大阪","大阪府大阪市東淀川区宮原2-1",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
3e9d3505-3a4f-4a39-9512-6b8a6da51584,"カーピカランド藤阪","大阪府枚方市藤阪東町4-7",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
3fba7332-016c-448a-9eb1-eabd7b970e57,"ALAUDAY 東大阪店","〒578-0901 大阪府東大阪市加納5丁目15-3",FALSE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
44796823-2b1c-475d-8985-d6256ddbb6cc,"洗車のジャバ 京橋店","大阪府大阪市都島区片町2-3-2",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
5fe85d8d-2124-47d9-9737-4da4759579f6,"洗車CLUB岸里","大阪府大阪市西成区岸里2-13-1",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
61d4e8da-a1c4-4d9a-b798-4d2b86215d1c,"カーピカランド泉南IC","大阪府泉南市信達金熊寺110",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
6c42acab-e1db-4eed-8238-2968110ea8d5,"CarWash Shinomiya CafeGarden (カーウォッシュ シノミヤ カフェガーデン)","大阪府門真市四宮6-2-32",FALSE,FALSE,TRUE,TRUE,FALSE,未確認,未確認,"",未確認,未確認,未確認
6e487e96-e0fa-486a-93d3-5fddd2b103c2,"洗車のジャバ 大和川店","大阪府大阪市平野区瓜破1-7-16",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
747b1e07-f787-40ad-9bc5-a8262292ed19,"カーウォッシュ21堺出島","大阪府堺市堺区出島海岸通3-5",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
87d83942-c676-4d8a-9d80-69a4550d1d84,"カーピカランドきづがわ","大阪府大阪市浪速区木津川1-7-4",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
88b40165-a83d-4c1e-bc33-eb1ac3489800,"カーピカランド巽","大阪府大阪市生野区巽中2-14-1",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
8a787fdc-8f00-41cb-99fa-8844e504246f,"洗車の王国 なかもず店","大阪府堺市北区金岡町1377-6",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
8ed8b929-a10e-4c30-8f2b-727726dc71c8,"洗車のジャバ 東大阪西堤店","大阪府東大阪市西堤本通西1-8-30",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
a0349e42-81ba-4554-911c-216d3b8ece55,"D-Wash 中環南茨木","大阪府茨木市沢良宜西2-6-15",FALSE,FALSE,FALSE,FALSE,TRUE,未確認,未確認,"",未確認,未確認,未確認
a14d75e5-3fcf-4ab6-a3b4-cc0b03cb1b88,"洗車のジャバ 枚方招提南店","大阪府枚方市招提南町3-23",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
a3e51057-0016-4819-97b2-f1a20b08f206,"洗車のジャバ 藤井寺店","大阪府藤井寺市沢田1-14-6",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
a62ab56e-0137-43cc-90aa-a367a792244d,"セルフウォッシュ富士","大阪府大阪市此花区酉島5-6-26",TRUE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認
af0318e4-16a2-4ecc-b533-0df43edcf803,"洗車のジャバ 住之江店","大阪市住之江区平林南2-4-63",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
b6367b45-79cd-407f-821d-02591df13fc8,"カーピカランド南吹田","大阪府吹田市南吹田1-20",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
c1b01957-1603-4c3b-b5b8-34048af3d7a3,"カーピカランドK2","大阪府大阪市平野区喜連西5-3",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
c65f6acd-a01b-4f87-8813-abcaa962f96d,"ウォッシュザウルス新大阪","大阪府大阪市淀川区宮原2-1",TRUE,TRUE,FALSE,FALSE,TRUE,未確認,未確認,"",未確認,未確認,未確認
cae98570-4c99-48b4-ab27-9de6ce0398f8,"洗車のジャバ 八尾店","大阪府八尾市高美町6-8-4",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
cd2af35f-b9cb-4bb8-ac6f-5a675173114b,"Newカーピカランド住之江","大阪府大阪市住之江区新北島3-3-19",TRUE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
cda01a67-fb64-4d3d-aa3d-0f0aa55caf95,"カーピカランド東八田","大阪府堺市中区東八田225",TRUE,TRUE,FALSE,FALSE,TRUE,未確認,未確認,"",未確認,FALSE,未確認
e7938cf1-a15a-4477-ac16-fb1b19763f8f,"洗車のジャバ 大和川店","大阪府大阪市平野区瓜破1-7-16",TRUE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
ea1eb337-e0f3-4754-b189-8ed744f45b7d,"カーピカランド高槻土室","大阪府高槻市土室町40",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
f401bd9c-362d-4ab3-aad1-1ec09ac9802c,"洗車のジャバ 四條畷外環店","大阪府四條畷市砂4-216",FALSE,FALSE,TRUE,FALSE,FALSE,未確認,未確認,"",未確認,TRUE,未確認
f464fc63-9ad8-455f-b118-d7bc140e022d,"カーピカランド高石","大阪府高石市取下町6-16-23",FALSE,TRUE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,FALSE,未確認
fcb64e6b-3801-4c87-a8da-6d067fa724c1,"Whitepit 松原セブンパーク天美前店","大阪府松原市天美東2-208",FALSE,FALSE,FALSE,FALSE,TRUE,未確認,未確認,"",未確認,未確認,未確認
fee2a796-cdcb-4619-8158-b3771927bb95,"阪高カーウォッシュ猪名川","大阪府池田市ダイハツ町3",FALSE,FALSE,FALSE,FALSE,FALSE,未確認,未確認,"",未確認,未確認,未確認